Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
Casa de Vila;Madureira;1;1;0;45;750.0;30.0;;;Apartamento
Apartamento;Tijuca;2;0;0;70;1300.0;420.0;25.0;24.93;Apartamento
Apartamento;Barra da Tijuca;2;1;1;73;2000.0;886.0;;;Apartamento
Casa Comercial;Botafogo;0;0;0;424;18000.0;;21422.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;20;500.0;500.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;3;170;4200.0;900.0;467.0;32.75;Apartamento
Apartamento;Leblon;2;1;1;82;3500.0;1120.0;389.0;61.09;Apartamento
Apartamento;Lapa;1;1;0;50;2150.0;885.0;50.0;61.7;Apartamento
Apartamento;Flamengo;1;0;0;35;2200.0;315.0;55.0;73.43;Apartamento
Apartamento;Humaitá;3;2;1;92;3500.0;1300.0;225.0;54.62;Apartamento
Flat;Lagoa;2;1;1;85;4000.0;1950.0;350.0;74.12;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;22;0;800;60000.0;16000.0;10000.0;107.5;Apartamento
Casa Comercial;São Conrado;0;6;0;391;14000.0;;631.0;;Apartamento
