Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
Apartamento;Barra da Tijuca;1;1;0;70;1900.0;1100.0;1450.0;63.57;Apartamento
Apartamento;Jacarepaguá;2;1;1;68;2350.0;543.0;15.0;42.76;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;0;0;20;2250.0;326.0;150.0;136.3;Apartamento
Apartamento;Jardim Botânico;3;2;1;112;8000.0;1776.0;334.0;90.27;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;0;0;500;7000.0;;;;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;55;1500.0;1200.0;220.0;53.09;Apartamento
Apartamento;Laranjeiras;2;0;0;84;2300.0;1004.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;70;1200.0;1900.0;421.0;50.3;Apartamento
Apartamento;Campo Grande;2;1;1;70;1300.0;350.0;;;Apartamento
Apartamento;Santa Teresa;1;0;0;27;900.0;340.0;;;Apartamento
Apartamento;Flamengo;3;1;3;204;23000.0;2000.0;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2800.0;970.0;70.0;54.86;Apartamento
Apartamento;Copacabana;3;1;0;74;3200.0;885.0;152.0;57.26;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;90;6000.0;664.0;265.0;76.99;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;460;22000.0;4300.0;490.0;58.24;Apartamento
Apartamento;Recreio dos Bandeirantes;3;0;2;90;2000.0;715.0;154.0;31.88;Apartamento
Quitinete;Copacabana;1;0;0;30;1600.0;411.0;23.0;67.8;Apartamento
Apartamento;Leblon;3;2;1;130;12000.0;850.0;;;Apartamento
Apartamento;Penha;1;0;0;45;900.0;;;;Apartamento
Apartamento;Ipanema;4;3;2;300;12000.0;4000.0;1011.0;56.7;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;3;138;3500.0;583.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;180;3200.0;;;;Apartamento
Conjunto Comercial/Sala;Centro;0;2;0;211;24215.0;3475.0;986.0;135.91;Apartamento
Quitinete;Centro;1;0;0;30;700.0;450.0;25.0;39.17;Apartamento
Apartamento;Tijuca;3;1;1;98;2400.0;823.0;173.0;34.65;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;295;14750.0;5613.0;1561.0;74.32;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;1850.0;1061.0;;;Apartamento
Casa Comercial;Ipanema;0;0;0;32;4500.0;1400.0;400.0;196.88;Apartamento
Apartamento;Leblon;1;1;0;50;3200.0;1012.0;180.0;87.84;Apartamento
Apartamento;Ipanema;1;1;0;85;12500.0;4000.0;500.0;200.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;30;1200.0;1100.0;1200.0;116.67;Apartamento
Apartamento;Ipanema;1;0;0;43;3200.0;520.0;125.0;89.42;Apartamento
Apartamento;Copacabana;3;1;1;95;4000.0;1326.0;240.0;58.59;Apartamento
Apartamento;Copacabana;2;0;0;80;2000.0;900.0;1484.0;54.8;Apartamento
Apartamento;Jardim Botânico;3;0;0;103;3200.0;500.0;266.0;38.5;Apartamento
Apartamento;Tanque;2;1;1;60;1100.0;660.0;41.0;30.02;Apartamento
Apartamento;Ipanema;3;2;1;110;5500.0;2100.0;340.0;72.18;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;220;9000.0;4799.0;1138.0;67.9;Apartamento
Apartamento;Copacabana;1;0;0;35;1800.0;400.0;25.0;63.57;Apartamento
Apartamento;Praça da Bandeira;3;0;0;68;1500.0;515.0;48.0;30.34;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;570;19500.0;8800.0;;;Apartamento
Apartamento;Ipanema;3;2;0;140;5000.0;2500.0;600.0;57.86;Apartamento
Apartamento;Curicica;2;1;0;49;1000.0;150.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;70;2400.0;618.0;;;Apartamento
Apartamento;Maracanã;2;1;1;82;1900.0;850.0;;;Apartamento
Apartamento;Barra da Tijuca;4;3;4;280;25000.0;5977.0;1848.0;117.23;Apartamento
Apartamento;Copacabana;1;0;0;28;2000.0;300.0;26.0;83.07;Apartamento
Apartamento;Ipanema;3;1;1;157;12000.0;3300.0;1159.0;104.83;Apartamento
Apartamento;Barra da Tijuca;4;4;4;598;30000.0;7200.0;1500.0;64.72;Apartamento
